MONTH,YEAR,STID,TMAX,TMIN,HMAX,HMIN,RAIN,DATE
1,2014,HOOK,49.48032258064516,17.929032258064517,83.04161290322581,29.00225806451613,0.17,2014-01-01
2,2014,HOOK,47.18071428571429,17.053571428571427,88.28857142857143,39.94392857142857,0.30000000000000004,2014-02-01
3,2014,HOOK,60.70612903225806,26.06806451612903,78.96612903225807,25.398709677419355,0.31,2014-03-01
4,2014,HOOK,72.3648275862069,39.32103448275862,81.82689655172413,21.022068965517242,0.4,2014-04-01
5,2014,HOOK,84.35064516129032,48.31516129032258,75.3741935483871,18.83,1.25,2014-05-01
6,2014,HOOK,90.65433333333333,61.89566666666666,90.863,28.832666666666665,3.18,2014-06-01
7,2014,HOOK,90.62032258064517,64.71870967741935,88.2283870967742,33.108709677419355,2.58,2014-07-01
8,2014,HOOK,95.793,64.471,85.41433333333333,21.770333333333333,0.95,2014-08-01
9,2014,HOOK,84.275,58.004,91.22633333333333,36.353,1.48,2014-09-01
10,2014,HOOK,76.06032258064516,44.90225806451613,85.74903225806452,28.060967741935485,1.72,2014-10-01
11,2014,HOOK,57.58266666666667,25.803333333333335,80.606,24.703666666666667,0.08,2014-11-01
12,2014,HOOK,47.29774193548387,26.594516129032257,91.05419354838709,46.98258064516129,0.9199999999999999,2014-12-01
1,2015,HOOK,48.13225806451613,22.894516129032258,89.14387096774193,40.042258064516126,1.02,2015-01-01
2,2015,HOOK,52.25857142857143,20.911785714285713,90.64214285714286,37.38357142857143,0.41,2015-02-01
3,2015,HOOK,65.32612903225807,32.358387096774194,87.50354838709677,29.00548387096774,1.1400000000000001,2015-03-01
4,2015,HOOK,73.647,41.69866666666667,87.786,24.719333333333335,1.7,2015-04-01
5,2015,HOOK,73.93967741935484,50.48451612903226,94.08709677419355,43.65387096774194,6.76,2015-05-01
6,2015,HOOK,90.80566666666667,63.862,89.81766666666667,31.688333333333333,3.1100000000000003,2015-06-01
7,2015,HOOK,94.56709677419354,66.7374193548387,88.60032258064516,30.01451612903226,2.14,2015-07-01
